Sl,State/UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Unnamed: 16,2015
1.0,Andhra Pradesh,,,,,,,,,,,,,,0,,0
2.0,Arunachal Pradesh,,,,,,,,,,,,,,0,,0
3.0,Assam,,,,,,,,,,,,,,1,,0
4.0,Bihar,,,,,,,,,,,,,,123,,215
5.0,Chhattisgarh,,,,,,,,,,,,,,0,,2
6.0,Goa,,,,,,,,,,,,,,1,,0
7.0,Gujarat,,,,,,,,,,,,,,2,,2
8.0,Haryana,,,,,,,,,,,,,,3,,22
9.0,Himachal Pradesh,,,,,,,,,,,,,,5,,14
10.0,Jammu & Kashmir,,,,,,,,,,,,,,0,,0
11.0,Jharkhand,,,,,,,,,,,,,,4,,0
12.0,Karnataka,,,,,,,,,,,,,,0,,1
13.0,Kerala,,,,,,,,,,,,,,116,,124
14.0,Madhya Pradesh,,,,,,,,,,,,,,59,,100
15.0,Maharashtra,,,,,,,,,,,,,,6,,24
16.0,Manipur,,,,,,,,,,,,,,0,,0
17.0,Meghalaya,,,,,,,,,,,,,,0,,0
18.0,Mizoram,,,,,,,,,,,,,,0,,0
19.0,Nagaland,,,,,,,,,,,,,,0,,0
20.0,Odisha,,,,,,,,,,,,,,0,,0
21.0,Punjab,,,,,,,,,,,,,,2,,1
22.0,Rajasthan,,,,,,,,,,,,,,16,,19
23.0,Sikkim,,,,,,,,,,,,,,0,,0
24.0,Tamil Nadu,,,,,,,,,,,,,,4,,2
25.0,Telangana,,,,,,,,,,,,,,3,,4
26.0,Tripura,,,,,,,,,,,,,,0,,0
27.0,Uttar Pradesh,,,,,,,,,,,,,,345,,4
28.0,Uttarakhand,,,,,,,,,,,,,,0,,0
29.0,West Bengal,,,,,,,,,,,,,,3,,2
,TOTAL STATE(S),,,,,,,,,,,,,,693,,536
30.0,A & N Islands,,,,,,,,,,,,,,0,,2
31.0,Chandigarh,,,,,,,,,,,,,,0,,0
32.0,D&N Haveli,,,,,,,,,,,,,,0,,0
33.0,Daman & Diu,,,,,,,,,,,,,,0,,0
34.0,Delhi UT,,,,,,,,,,,,,,0,,2
35.0,Lakshadweep,,,,,,,,,,,,,,0,,0
36.0,Puducherry,,,,,,,,,,,,,,0,,0
,TOTAL UT(S),,,,,,,,,,,,,,0,,4
,TOTAL (ALL INDIA),,,,,,,,,,,,,,693,,540
